url,title,date,content,ticker
https://economictimes.indiatimes.com/markets/stocks/news/adani-wilmar-shares-jump-over-6-as-adani-enterprises-to-demerge-food-fmcg-biz/articleshow/112216146.cms,Adani Wilmar shares jump over 6% as Adani Enterprises to demerge food FMCG biz,"Last Updated: Aug 02, 2024, 12:03:00 PM IST","Adani Wilmar's shares rose 6.4% after Adani Enterprises announced the demerger of its food FMCG business. The company posted a consolidated net profit of Rs 313.2 crore for Q1 2024, contrasting a loss the previous year. Revenue increased by 9.6% year-on-year, with notable growth in the Edible Oils and Food & FMCG segments.",ADANIENT
https://economictimes.indiatimes.com/markets/stocks/news/adani-enterprises-okays-food-fmcg-biz-demerger-q1-net-up-116-on-infra-push/articleshow/112210565.cms,Adani Enterprises okays food FMCG biz demerger; Q1 net up 116% on infra push,"Last Updated: Aug 02, 2024, 08:02:00 AM IST",Shareholders of Adani flagship to get 251 shares of Adani Wilmar for every 500 shares held,ADANIENT
https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-titan-hindustan-zinc-itc-spicejet-zomato/articleshow/112209773.cms,"Stocks in news: Titan, Hindustan Zinc, ITC, SpiceJet, Zomato","Last Updated: Aug 02, 2024, 06:50:00 AM IST","Sensex reached a new peak, closing 126 points higher, and Nifty crossed the 25,000 mark for the first time. Titan, Hindustan Zinc, ITC, Tata Motors, Zomato, Adani Enterprises, and SpiceJet shared their quarterly results. ITC reported a small rise, while Tata Motors and Adani Enterprises showed significant profit growth. SpiceJet canceled flights due to operational reasons.",ADANIENT
https://economictimes.indiatimes.com/markets/stocks/news/adani-enterprises-to-demerge-food-fmcg-biz-to-adani-wilmar/articleshow/112193877.cms,"Adani Enterprises to demerge food FMCG biz, integrate it with Adani Wilmar","Last Updated: Aug 01, 2024, 04:56:00 PM IST","The demerger scheme also includes Adani Enterprises' strategic investment in Adani Commodities. The demerger will also provide scope for independent collaboration and expansion, it said.",ADANIENT
https://economictimes.indiatimes.com/markets/stocks/earnings/adani-enterprises-q1-results-cons-pat-zooms-116-yoy-to-rs-1454-crore/articleshow/112193053.cms,"Adani Enterprises Q1 Results: Cons PAT zooms 116% YoY to Rs 1,454 crore","Last Updated: Aug 01, 2024, 05:21:00 PM IST","Adani Enterprises Q1 FY25 Results: Revenue from operations in the reporting period increased 12% YoY to Rs 25,472 crore, compared with Rs 22644 crore in the corresponding period of last year.",ADANIENT
https://economictimes.indiatimes.com/markets/stocks/news/q1-results-today-itc-tata-motors-among-88-companies-will-announce-earnings-on-thursday/articleshow/112182636.cms,"Q1 results today: ITC, Tata Motors among 88 companies will announce earnings on Thursday","Last Updated: Aug 01, 2024, 08:37:00 AM IST","Earnings season commenced with 88 companies announcing results. Key highlights included ITC, Sun Pharma, Tata Motors, Adani Enterprises, and Zomato reporting. ITC and Dabur anticipated revenue growth from cigarettes, hotels, and FMCG segments. Tata Motors projected strong profit growth. Zomato maintained robust performance from prior quarters, offering promising outlooks.",ADANIENT
https://economictimes.indiatimes.com/markets/stocks/news/gift-nifty-signals-a-positive-start-for-d-street-heres-the-trading-setup-for-todays-session/articleshow/112181369.cms,GIFT Nifty signals a positive start for D-Street. Here's the trading setup for today's session,"Last Updated: Aug 01, 2024, 07:02:00 AM IST","On Wednesday, domestic markets saw a strong closure with Nifty rising 3% in July, driven by budget support and FII buying. Analysts predict ongoing momentum with sector rotation. Key data points include India VIX and global market trends. Significant Q1 results from companies like ITC and Sun Pharma are due on Thursday.",ADANIENT
https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-itc-tata-motors-zomato-adani-enterprises-infosys/articleshow/112181290.cms,"Stocks in news: ITC, Tata Motors, Zomato, Adani Enterprises, Infosys","Last Updated: Aug 01, 2024, 06:46:00 AM IST","Markets experienced a slight uptick on Wednesday. Key companies such as ITC, Tata Motors, and Infosys will be under focus due to their quarterly results. Tata Steel and Coal India reported profit growths, while Infosys faces a GST investigation concerning Rs 32000 crore. Bank of Baroda and Sonata Software also posted their quarterly results.",ADANIENT
https://economictimes.indiatimes.com/markets/stocks/news/adani-energy-launches-qip-to-raise-about-1-billion/articleshow/112143468.cms,"Adani Energy launches QIP, to raise about $1 billion","Last Updated: Jul 30, 2024, 08:03:00 PM IST","In an exchange filing, the company stated that the issue price would be determined in consultation with the bankers. SBI Capital Markets, Jefferies India Private, and ICICI Securities have been appointed as the book-running lead managers for the issue, it added.",ADANIENT
https://economictimes.indiatimes.com/markets/stocks/news/adani-energy-solutions-launches-qip-sets-floor-price-at-rs-1027-per-share/articleshow/112139693.cms,"Adani Energy Solutions launches QIP, sets floor price at Rs 1027 per share","Last Updated: Jul 30, 2024, 06:02:00 PM IST","Adani Energy Solution commenced a qualified institutional placement, targeting to raise up to $1 billion. The floor price has been set at Rs 1027.1 per share. This fundraising comes after the group's stock prices rebounded from a significant drop after allegations of fraud last year.",ADANIENT
